# ID	Galaxy	Morphology	z	E(B-V)	PA	b/a	SN	Type	RA_offset	DEC_offset	Separation
  135	"2MFGC13321"	"Sb"	0.026145	0.007	168.6	0.39	"2002aw"	"Ia"	-1.6	+1.5	3.4
  83	"CGCG207-042"	"SBbc"	0.031592	0.046	65.1	0.62	"2006te"	"Ia"	-5.5	-1.7	5.6
  108	"IC0307"	"SB(r)a pec?"	0.025981	0.086	149.1	0.61	"2005em"	"IIb"	+38.0	-7.9	38.3
  133	"IC0758"	"SB(rs)cd?"	0.004253	0.018	109.8	0.93	"1999bg"	"IIP"	-33.0	-20.0	36.6
  79	"NGC0105"	"Sab:"	0.017646	0.073	78.0	0.81	"2007A"	"Ia"	-1.2	+10.1	9.5
  6	"NGC0214"	"SAB(r)c"	0.015134	0.035	144.7	0.66	"2005db"	"IIn"	-16.0	-2.0	17.9
  102	"NGC0309"	"SAB(r)c"	0.018886	0.035	26.8	0.93	"1999ge"	"II"	+16.0	+6.7	17.6
  86	"NGC0495"	"(R\')SB0/a(s) pec?"	0.013723	0.071	54.0	0.79	"1999ej"	"Ia"	+17.7	-20.1	26.4
  7	"NGC0523"	"pec"	0.015871	0.054	179.2	0.4	"2001en"	"Ia"	+25.8	+0.1	26.6
  65	"NGC0628"	"SA(s)c"	0.002192	0.07	97.4	0.98	"2003gd"	"IIP"	+13.2	-161.0	161.8
  8	"NGC0774"	"S0"	0.015411	0.061	75.4	0.62	"2006ee"	"II"	+9.5	-9.4	13.9
  9	"NGC0776"	"SAB(rs)b"	0.016415	0.097	65.2	0.85	"1999di"	"Ib"	+5.2	-17.0	17.8
  10	"NGC0932"	"SAa"	0.013603	0.134	172.9	0.94	"1992bf"	"I"	+9.4	-10.8	13.3
  103	"NGC0938"	"E"	0.013736	0.1	91.9	0.77	"2015ab"	"Ia"	-9.3	+6.3	11.7
  81	"NGC0976"	"SA(rs)c:"	0.014327	0.11	78.5	0.82	"1999dq"	"Ia-pec"	-4.3	-6.4	7.7
  104	"NGC0991"	"SAB(rs)c"	0.00511	0.024	36.7	0.94	"1984L"	"Ib"	-32.0	-22.0	35.0
  11	"NGC1056"	"Sa?"	0.005154	0.149	69.7	0.54	"2011aq"	"II"	-2.9	-0.9	2.5
  67	"NGC1058"	"SA(rs)c"	0.001728	0.062	158.0	0.99	"2007gr"	"Ic"	-24.8	+15.8	28.9
  12	"NGC1060"	"S0-?"	0.017312	0.172	0.1	0.83	"2004fd"	"Ia"	+2.5	-4.3	5.0
  106	"NGC1070"	"Sb"	0.013636	0.05	89.8	0.75	"2008ie"	"IIb"	-22.0	+13.0	25.4
  13	"NGC1093"	"SABab?"	0.017646	0.087	9.1	0.61	"2009ie"	"IIP"	-27.3	-19.2	33.4
  69	"NGC1637"	"SAB(rs)c"	0.002392	0.04	123.3	0.89	"1999em"	"IIP"	-15.4	-17.0	23.0
  110	"NGC1667"	"SAB(r)c"	0.015167	0.067	77.8	0.65	"1986N"	"Ia"	-12.0	-9.0	19.6
  15	"NGC2347"	"SA(r)b?"	0.014747	0.079	99.7	0.66	"2001ee"	"II"	-5.0	-20.0	12.7
  112	"NGC2554"	"S0/a"	0.01387	0.05	70.0	0.77	"2013gq"	"Ia"	-0.6	-9.1	9.2
  113	"NGC2565"	"SBbc?"	0.011948	0.042	81.1	0.5	"1992I"	"II"	-28.5	+7.1	28.9
  115	"NGC2577"	"S0"	0.00678	0.048	16.8	0.51	"2007ax"	"Ia"	-2.6	+5.5	6.4
  116	"NGC2595"	"SAB(rs)c"	0.014443	0.035	125.9	0.95	"1999aa"	"Ia"	+1.0	+28.0	30.0
  117	"NGC2596"	"Sb"	0.019807	0.037	158.1	0.4	"2003bp"	"Ib"	+17.6	+11.6	22.0
  118	"NGC2604"	"SB(rs)cd"	0.00693	0.041	52.4	0.96	"2002ce"	"II"	-16.0	-12.0	23.1
  18	"NGC2623"	"pec"	0.018509	0.041	118.4	0.64	"1999gd"	"Ia"	+7.3	+17.4	17.9
  91	"NGC2691"	"Sa?"	0.013279	0.024	73.2	0.59	"2011hr"	"Ia-pec"	-3.4	-3.7	4.7
  19	"NGC2906"	"Scd?"	0.007138	0.047	170.7	0.51	"2005ip"	"IIn"	+2.8	+14.2	14.3
  120	"NGC2916"	"SA(rs)b?"	0.012442	0.023	105.8	0.63	"1998ar"	"II"	+16.9	+38.5	42.3
  20	"NGC3057"	"SB(s)dm"	0.005084	0.023	90.0	0.68	"1997cx"	"II"	-5.0	+15.0	19.7
  70	"NGC3184"	"SAB(rs)cd"	0.001975	0.022	71.1	0.96	"1999gi"	"IIP"	-3.5	+60.5	62.5
  71	"NGC3310"	"SAB(r)bc pec"	0.003312	0.023	69.8	0.78	"1991N"	"Ic"	+5.0	-7.0	8.5
  92 	"NGC3655"	"SA(s)c?"	0.004913	0.026	118.5	0.7	"2002ji"	"Ib"	-22.4	-14.0	25.4
  21	"NGC3687"	"SAB(r)bc?"	0.008362	0.022	57.0	0.98	"1989A"	"Ia"	-21.0	-18.0	33.6
  22	"NGC3811"	"SB(r)cd?"	0.010357	0.019	87.9	0.93	"1969C"	"Ia"	+9.0	+6.0	33.6
  93 	"NGC3913"	"(R\')SA(rs)d?"	0.003182	0.013	72.0	0.88	"1963J"	"Ia"	-5.0	-12.0	13.8
  76	"NGC3982"	"SAB(r)b?"	0.003699	0.014	101.7	0.86	"1998aq"	"Ia"	-18.0	+7.0	"2  3.0"
  24	"NGC4210"	"SB(r)b"	0.009113	0.018	7.4	0.79	"2002ho"	"Ic"	+12.9	-12.2	17.8
  25	"NGC4644"	"SBb?"	0.016501	0.02	145.1	0.45	"2007cm"	"IIn"	+21.5	+13.5	25.4
  26	"NGC4874"	"cD0"	0.023937	0.009	90.5	0.92	"1981G"	"Ia1"	+15.0	+10.0	12.1
  27	"NGC4961"	"SB(s)cd"	0.008456	0.011	14.2	0.68	"2005az"	"Ic"	-8.0	+5.5	9.7
  28	"NGC5000"	"SB(rs)bc"	0.018706	0.009	92.2	0.98	"2003el"	"Ic"	-16.7	-2.7	17.2
  30	"NGC5056"	"Scd?"	0.018653	0.012	85.6	0.66	"2005au"	"II"	+1.0	-21.0	20.7
  31	"NGC5157"	"SAB(r)a"	0.024424	0.013	174.2	0.94	"1995L"	"Ia"	+18.9	+2.0	22.5
  32	"NGC5378"	"SB(r)a"	0.010147	0.013	9.5	0.78	"1991ak"	"Ia"	-28.0	-19.0	34.1
  100	"NGC5406"	"SAB(rs)bc"	0.017352	0.011	17.9	0.94	"PSN J14002117+3854517"	"II"	+5.0	+3.0	4.9
  33	"NGC5421"	"P"	0.026315	0.015	82.4	0.81	"2012T"	"Ia-pec"	+3.5	-3.4	17.3
  122	"NGC5425"	"Sd"	0.006918	0.018	38.5	0.35	"2011ck"	"IIP"	-14.8	+7.3	16.1
  34	"NGC5480"	"SA(s)c?"	0.006191	0.019	89.6	0.82	"1988L"	"Ib"	+3.0	+14.0	10.7
  123	"NGC5525"	"S0"	0.018523	0.022	109.1	0.36	"2009gf"	"Ia"	-31.0	-8.5	32.0
  124	"NGC5557"	"E1"	0.010737	0.006	120.3	0.94	"1996aa"	"Ia"	-5.0	+3.0	4.2
  125	"NGC5559"	"SBd"	0.017232	0.02	152.1	0.33	"2001co"	"Ibc-pec"	-13.5	-12.6	18.4
  126	"NGC5587"	"S0/a"	0.007682	0.023	73.1	0.32	"2006dy"	"Ia"	+10.0	+9.0	14.1
  35	"NGC5611"	"S0"	0.006721	0.012	149.7	0.53	"2012ei"	"Ia"	+14.1	+5.8	13.1
  36	"NGC5630"	"Sdm:"	0.008856	0.011	178.2	0.52	"2006am"	"IIn"	+7.5	+6.8	10.3
  77	"NGC5668"	"SA(s)d"	0.00526	0.037	108.5	0.92	"1954B"	"Ia"	-2.0	-20.0	20.3
