# TYPED_ID   MAIN_ID             OTYPE_S   RA_d              DEC_d            Z_VALUE  col0 ra dec run rerun camcol field type modelMag_u modelMag_g modelMag_r modelMag_i modelMag_z
  2MFGC13321 "2MFGC 13321"       AGN       249.371733        40.880067        0.02638  ""   "" ""  ""  ""    ""     ""    ""   ""         ""         ""         ""         ""        
  NGC0628    "M  74"             Galaxy    24.17405          15.783461        0.002188 ""   "" ""  ""  ""    ""     ""    ""   ""         ""         ""         ""         ""        
  NGC1058    "NGC  1058"         Seyfert_2 40.8751030180145  37.3413354842991 0.001729 ""   "" ""  ""  ""    ""     ""    ""   ""         ""         ""         ""         ""        
  NGC1637    "NGC  1637"         AGN       70.367621         -2.858039        0.00238  ""   "" ""  ""  ""    ""     ""    ""   ""         ""         ""         ""         ""        
  NGC2347    "NGC  2347"         LINER     109.017029        64.711539        0.014836 ""   "" ""  ""  ""    ""     ""    ""   ""         ""         ""         ""         ""        
  NGC3184    "NGC  3180"         GinGroup  154.570771        41.424381        0.00197  ""   "" ""  ""  ""    ""     ""    ""   ""         ""         ""         ""         ""        
  NGC6166    "3C 338.0"          QSO       247.1593515360781 39.5511754919036 0.03092  ""   "" ""  ""  ""    ""     ""    ""   ""         ""         ""         ""         ""        
  NGC6643    "NGC  6643"         Galaxy    274.943208        74.568397        0.004967 ""   "" ""  ""  ""    ""     ""    ""   ""         ""         ""         ""         ""        
  NGC6786    "NGC  6786"         Seyfert_2 287.7247          73.410056        0.02502  ""   "" ""  ""  ""    ""     ""    ""   ""         ""         ""         ""         ""        
  UGC03555   "UGC  3555"         GinGroup  102.498679        25.634381        0.015491 ""   "" ""  ""  ""    ""     ""    ""   ""         ""         ""         ""         ""        
  UGC04036   "NGC  2441"         GinGroup  117.9778685033581 73.0156975103328 0.01157  ""   "" ""  ""  ""    ""     ""    ""   ""         ""         ""         ""         ""        
  UGC04132   "NVSS J075913+325454" RadioG    119.804488        32.914806        0.01732  ""   "" ""  ""  ""    ""     ""    ""   ""         ""         ""         ""         ""        
  UGC11975   "Mrk  906"          GinGroup  334.3323120025005 35.5711831020019 0.02097  ""   "" ""  ""  ""    ""     ""    ""   ""         ""         ""         ""         ""        
